"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1980-Q1","Q1-1980","PC","Percentage","0","Units",,,3.881396125,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1980-Q2","Q2-1980","PC","Percentage","0","Units",,,-2.042801026,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1980-Q3","Q3-1980","PC","Percentage","0","Units",,,-1.801471099,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1980-Q4","Q4-1980","PC","Percentage","0","Units",,,2.159624147,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1981-Q1","Q1-1981","PC","Percentage","0","Units",,,1.693172147,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1981-Q2","Q2-1981","PC","Percentage","0","Units",,,0.414882336,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1981-Q3","Q3-1981","PC","Percentage","0","Units",,,-1.247105515,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1981-Q4","Q4-1981","PC","Percentage","0","Units",,,-0.025564972,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1982-Q1","Q1-1982","PC","Percentage","0","Units",,,0.700604368,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1982-Q2","Q2-1982","PC","Percentage","0","Units",,,0.01010283,,
"NOR","Norway","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1982-Q3","Q3-1982","PC","Percentage","0","Units",,,-0.029486364,,
